"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1),,
01,01,Alabama,Total,"3,627    ","2,151    ",59.3    ,"1,911    ",52.7    ,240    ,11.2    ,10.3 – 12.1,,
01,02,Alabama,Men,"1,718    ","1,137    ",66.2    ,"1,012    ",58.9    ,126    ,11.1    ,9.8 – 12.4,,
01,03,Alabama,Women,"1,909    ","1,014    ",53.1    ,900    ,47.1    ,114    ,11.2    ,9.9 – 12.5,,
01,04,Alabama,White,"2,643    ","1,574    ",59.5    ,"1,438    ",54.4    ,136    ,8.6    ,7.6 – 9.6,,
01,05,Alabama,"White, men","1,272    ",861    ,67.7    ,781    ,61.4    ,80    ,9.3    ,7.9 – 10.7,,
01,06,Alabama,"White, women","1,371    ",712    ,51.9    ,657    ,47.9    ,55    ,7.8    ,6.4 – 9.2,,
01,07,Alabama,Black or African American,895    ,521    ,58.2    ,420    ,47.0    ,101    ,19.3    ,16.6 – 22,,
01,08,Alabama,"Black or African American, men",397    ,241    ,60.8    ,196    ,49.5    ,45    ,18.7    ,15.4 – 22,,
01,09,Alabama,"Black or African American, women",498    ,280    ,56.2    ,224    ,45.0    ,56    ,19.9    ,16.8 – 23,,
01,10,Alabama,Asian,38    ,28    ,73.4    ,26    ,68.8    ,2    ,6.4    ,( 2 ) – ( 2 ),,
01,13,Alabama,Hispanic or Latino ethnicity,102    ,80    ,77.7    ,71    ,69.1    ,9    ,11.1    ,6.7 – 15.5,,
01,14,Alabama,"Hispanic or Latino ethnicity, men",65    ,59    ,91.1    ,54    ,82.9    ,5    ,9.0    ,4.6 – 13.4,,
01,15,Alabama,"Hispanic or Latino ethnicity, women",38    ,21    ,54.8    ,17    ,45.4    ,4    ,17.1    ,( 2 ) – ( 2 ),,
01,16,Alabama,"Married men, spouse present",943    ,660    ,69.9    ,614    ,65.1    ,45    ,6.9    ,5.5 – 8.3,,
01,17,Alabama,"Married women, spouse present",957    ,515    ,53.8    ,475    ,49.7    ,40    ,7.7    ,6.1 – 9.3,,
01,18,Alabama,Women who maintain families,260    ,168    ,64.5    ,134    ,51.7    ,33    ,19.8    ,16.1 – 23.5,,
01,19,Alabama,"Total, 16 to 19 years",258    ,98    ,38.0    ,71    ,27.4    ,27    ,27.9    ,23.1 – 32.7,,
01,20,Alabama,"Total, 20 to 24 years",338    ,245    ,72.6    ,196    ,57.9    ,49    ,20.2    ,17.1 – 23.3,,
01,21,Alabama,"Total, 25 to 34 years",569    ,443    ,77.8    ,386    ,67.9    ,57    ,12.8    ,10.7 – 14.9,,
01,22,Alabama,"Total, 35 to 44 years",608    ,474    ,77.9    ,429    ,70.6    ,44    ,9.4    ,7.6 – 11.2,,
01,23,Alabama,"Total, 45 to 54 years",645    ,484    ,75.0    ,448    ,69.5    ,36    ,7.3    ,5.7 – 8.9,,
01,24,Alabama,"Total, 55 to 64 years",539    ,310    ,57.5    ,292    ,54.1    ,18    ,5.9    ,4 – 7.8,,
01,25,Alabama,"Total, 65 years and over",670    ,97    ,14.6    ,89    ,13.4    ,8    ,8.2    ,4.4 – 12,,
01,26,Alabama,"Men, 16 to 19 years",132    ,54    ,40.7    ,37    ,28.4    ,16    ,30.2    ,24 – 36.4,,
