"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1)
01,01,Alabama,Total,"3,847","2,208",57.4,"2,121",55.1,87,3.9,3.3 – 4.5
01,02,Alabama,Men,"1,820","1,180",64.9,"1,135",62.4,45,3.8,3.0 – 4.6
01,03,Alabama,Women,"2,027","1,027",50.7,986,48.6,42,4.1,3.3 – 4.9
01,04,Alabama,White,"2,711","1,567",57.8,"1,523",56.2,44,2.8,2.2 – 3.4
01,05,Alabama,"White, men","1,310",880,67.2,857,65.4,23,2.6,1.9 – 3.3
01,06,Alabama,"White, women","1,401",686,49.0,666,47.5,20,3.0,2.1 – 3.9
01,07,Alabama,Black or African American,999,558,55.8,519,52.0,38,6.9,5.2 – 8.6
01,08,Alabama,"Black or African American, men",443,254,57.4,235,53.1,19,7.4,4.8 – 10.0
01,09,Alabama,"Black or African American, women",556,304,54.6,284,51.1,19,6.4,4.2 – 8.6
01,13,Alabama,Hispanic or Latino ethnicity,143,97,67.5,92,64.4,4,4.6,1.9 – 7.3
01,14,Alabama,"Hispanic or Latino ethnicity, men",75,66,87.4,64,85.1,2,2.6,0.1 – 5.1
01,16,Alabama,"Married men, spouse present",961,670,69.7,660,68.7,10,1.5,0.9 – 2.1
01,17,Alabama,"Married women, spouse present",971,513,52.8,503,51.7,11,2.1,1.2 – 3.0
01,18,Alabama,Women who maintain families,255,155,60.9,144,56.6,11,7.0,4.2 – 9.8
01,19,Alabama,"Total, 16 to 19 years",236,75,31.9,66,27.9,9,12.5,7.1 – 17.9
01,20,Alabama,"Total, 20 to 24 years",333,228,68.5,212,63.8,16,6.8,4.5 – 9.1
01,21,Alabama,"Total, 25 to 34 years",627,492,78.5,469,74.8,23,4.7,3.4 – 6.0
01,22,Alabama,"Total, 35 to 44 years",578,451,78.0,433,75.0,18,3.9,2.7 – 5.1
01,23,Alabama,"Total, 45 to 54 years",653,481,73.7,470,72.0,11,2.2,1.3 – 3.1
01,24,Alabama,"Total, 55 to 64 years",666,353,53.0,347,52.1,6,1.7,0.8 – 2.6
01,25,Alabama,"Total, 65 years and over",753,127,16.9,123,16.3,5,3.6,1.4 – 5.8
01,27,Alabama,"Men, 20 to 24 years",166,122,73.2,113,68.2,8,6.7,3.6 – 9.8
01,28,Alabama,"Men, 25 to 34 years",303,258,85.1,248,81.7,10,4.0,2.3 – 5.7
01,29,Alabama,"Men, 35 to 44 years",280,238,85.0,229,81.6,9,3.9,2.2 – 5.6
01,30,Alabama,"Men, 45 to 54 years",313,255,81.4,250,79.8,5,1.9,0.8 – 3.0
01,31,Alabama,"Men, 55 to 64 years",316,200,63.4,196,62.0,4,2.2,0.8 – 3.6
01,32,Alabama,"Men, 65 years and over",331,68,20.4,65,19.8,2,3.1,0.3 – 5.9
01,34,Alabama,"Women, 20 to 24 years",167,106,63.8,99,59.4,7,7.0,3.6 – 10.4
01,35,Alabama,"Women, 25 to 34 years",324,234,72.3,222,68.4,13,5.4,3.4 – 7.4
01,36,Alabama,"Women, 35 to 44 years",298,213,71.5,205,68.7,8,3.9,2.1 – 5.7
01,37,Alabama,"Women, 45 to 54 years",340,227,66.6,221,64.9,6,2.6,1.2 – 4.0
01,38,Alabama,"Women, 55 to 64 years",351,153,43.7,152,43.3,2,1.0,(2)-
01,41,Alabama,"White, 20 to 24 years",206,150,72.5,144,69.5,6,4.1,1.9 – 6.3
01,42,Alabama,"White, 25 to 34 years",414,330,79.7,321,77.6,9,2.7,1.5 – 3.9
01,43,Alabama,"White, 35 to 44 years",397,312,78.7,302,76.0,11,3.4,2.0 – 4.8
01,44,Alabama,"White, 45 to 54 years",462,352,76.2,346,74.9,6,1.8,0.8 – 2.8
01,45,Alabama,"White, 55 to 64 years",479,263,54.8,258,53.9,4,1.6,0.6 – 2.6
01,46,Alabama,"White, 65 years and over",604,106,17.6,104,17.2,2,2.2,0.3 – 4.1
01,48,Alabama,"Black or African American, 20 to 24 years",104,63,60.8,54,51.9,9,14.6,7.2 – 22.0
01,49,Alabama,"Black or African American, 25 to 34 years",187,144,76.8,132,70.6,12,8.1,4.4 – 11.8
01,50,Alabama,"Black or African American, 35 to 44 years",161,122,75.6,115,71.3,7,5.7,2.4 – 9.0
01,51,Alabama,"Black or African American, 45 to 54 years",166,110,66.1,106,63.9,4,3.4,0.7 – 6.1
01,52,Alabama,"Black or African American, 55 to 64 years",172,82,47.8,81,47.2,1,1.3,(2)-
02,01,Alaska,Total,547,356,65.0,332,60.7,23,6.6,5.6 – 7.6
02,02,Alaska,Men,279,192,68.7,176,63.1,16,8.2,6.6 – 9.8
02,03,Alaska,Women,268,164,61.1,156,58.2,8,4.7,3.4 – 6.0
02,04,Alaska,White,352,233,66.3,224,63.6,10,4.1,3.1 – 5.1
02,05,Alaska,"White, men",182,128,70.0,121,66.4,6,5.1,3.6 – 6.6
02,06,Alaska,"White, women",169,106,62.4,103,60.6,3,2.9,1.6 – 4.2
02,10,Alaska,Asian,44,29,65.1,28,62.4,1,4.2,1.7 – 6.7
02,11,Alaska,"Asian, men",20,14,69.7,13,65.4,1,6.2,1.9 – 10.5
02,12,Alaska,"Asian, women",25,15,61.5,15,60.0,(3)-,2.4,(2)-
02,13,Alaska,Hispanic or Latino ethnicity,32,22,68.4,21,65.5,1,4.3,1.5 – 7.1
02,14,Alaska,"Hispanic or Latino ethnicity, men",18,13,69.5,12,66.1,1,5.0,1.1 – 8.9
02,16,Alaska,"Married men, spouse present",133,97,72.7,93,69.5,4,4.3,2.7 – 5.9
02,17,Alaska,"Married women, spouse present",134,84,62.8,82,60.8,3,3.1,1.6 – 4.6
02,18,Alaska,Women who maintain families,29,18,63.0,17,59.4,1,5.7,1.4 – 10.0
02,19,Alaska,"Total, 16 to 19 years",38,13,35.3,11,28.3,3,20.0,10.6 – 29.4
02,20,Alaska,"Total, 20 to 24 years",49,37,74.0,32,65.3,4,11.7,7.3 – 16.1
02,21,Alaska,"Total, 25 to 34 years",109,87,79.7,80,73.7,7,7.5,5.2 – 9.8
02,22,Alaska,"Total, 35 to 44 years",83,67,80.8,64,76.9,3,4.8,2.7 – 6.9
02,23,Alaska,"Total, 45 to 54 years",82,66,80.8,63,77.0,3,4.7,2.7 – 6.7
02,24,Alaska,"Total, 55 to 64 years",97,62,64.2,60,61.5,3,4.2,2.2 – 6.2
02,25,Alaska,"Total, 65 years and over",89,23,26.0,22,24.8,1,4.4,1.0 – 7.8
02,27,Alaska,"Men, 20 to 24 years",26,20,77.8,17,65.8,3,15.5,8.7 – 22.3
02,28,Alaska,"Men, 25 to 34 years",54,46,85.4,41,77.0,4,9.8,6.2 – 13.4
02,29,Alaska,"Men, 35 to 44 years",42,36,84.7,33,79.1,2,6.6,3.3 – 9.9
02,30,Alaska,"Men, 45 to 54 years",41,35,84.9,33,80.6,2,5.1,2.1 – 8.1
02,31,Alaska,"Men, 55 to 64 years",52,36,69.4,35,66.7,1,3.9,1.4 – 6.4
02,32,Alaska,"Men, 65 years and over",44,13,28.9,12,27.3,1,5.5,0.4 – 10.6
02,34,Alaska,"Women, 20 to 24 years",24,17,69.8,15,64.9,1,7.0,2.0 – 12.0
02,35,Alaska,"Women, 25 to 34 years",55,41,74.2,39,70.5,2,5.0,2.3 – 7.7
02,36,Alaska,"Women, 35 to 44 years",41,32,76.8,31,74.7,1,2.7,0.5 – 4.9
02,37,Alaska,"Women, 45 to 54 years",41,32,76.8,30,73.4,1,4.4,1.5 – 7.3
02,38,Alaska,"Women, 55 to 64 years",45,26,58.1,25,55.5,1,4.6,1.4 – 7.8
02,41,Alaska,"White, 20 to 24 years",26,19,75.1,18,70.1,1,6.6,2.1 – 11.1
02,42,Alaska,"White, 25 to 34 years",61,49,80.1,46,76.0,2,5.1,2.6 – 7.6
02,43,Alaska,"White, 35 to 44 years",55,47,84.4,45,82.0,1,2.8,0.9 – 4.7
02,44,Alaska,"White, 45 to 54 years",57,48,84.5,46,81.4,2,3.7,1.6 – 5.8
02,45,Alaska,"White, 55 to 64 years",69,47,67.7,46,66.0,1,2.5,0.7 – 4.3
02,46,Alaska,"White, 65 years and over",67,17,26.0,17,24.9,1,4.2,0.4 – 8.0
