Detail,Week_Ending_Date,Value,Measure,Class,Week,Source,Flu_Season
A (H1),1/4/2003 12:00:00 AM,0,Region,Central,1,Labs,2002-03
A (H3),1/4/2003 12:00:00 AM,0,Region,Central,1,Labs,2002-03
A (Unk),1/4/2003 12:00:00 AM,0,Region,Central,1,Labs,2002-03
B,1/4/2003 12:00:00 AM,0,Region,Central,1,Labs,2002-03
B/Victoria,1/4/2003 12:00:00 AM,0,Region,Central,1,Labs,2002-03
B/Yamagata,1/4/2003 12:00:00 AM,0,Region,Central,1,Labs,2002-03
A (H1),1/4/2003 12:00:00 AM,0,Region,Eastern,1,Labs,2002-03
A (H3),1/4/2003 12:00:00 AM,0,Region,Eastern,1,Labs,2002-03
A (Unk),1/4/2003 12:00:00 AM,0,Region,Eastern,1,Labs,2002-03
B,1/4/2003 12:00:00 AM,0,Region,Eastern,1,Labs,2002-03
B/Victoria,1/4/2003 12:00:00 AM,0,Region,Eastern,1,Labs,2002-03
B/Yamagata,1/4/2003 12:00:00 AM,0,Region,Eastern,1,Labs,2002-03
A (H1),1/4/2003 12:00:00 AM,0,Region,Northern,1,Labs,2002-03
A (H3),1/4/2003 12:00:00 AM,0,Region,Northern,1,Labs,2002-03
A (Unk),1/4/2003 12:00:00 AM,0,Region,Northern,1,Labs,2002-03
B,1/4/2003 12:00:00 AM,0,Region,Northern,1,Labs,2002-03
B/Victoria,1/4/2003 12:00:00 AM,0,Region,Northern,1,Labs,2002-03
B/Yamagata,1/4/2003 12:00:00 AM,0,Region,Northern,1,Labs,2002-03
A (H1),1/4/2003 12:00:00 AM,0,Region,Northwest,1,Labs,2002-03
A (H3),1/4/2003 12:00:00 AM,0,Region,Northwest,1,Labs,2002-03
A (Unk),1/4/2003 12:00:00 AM,0,Region,Northwest,1,Labs,2002-03
B,1/4/2003 12:00:00 AM,0,Region,Northwest,1,Labs,2002-03
B/Victoria,1/4/2003 12:00:00 AM,0,Region,Northwest,1,Labs,2002-03
B/Yamagata,1/4/2003 12:00:00 AM,0,Region,Northwest,1,Labs,2002-03
A (H1),1/4/2003 12:00:00 AM,0,Region,Southwest,1,Labs,2002-03
A (H3),1/4/2003 12:00:00 AM,0,Region,Southwest,1,Labs,2002-03
A (Unk),1/4/2003 12:00:00 AM,0,Region,Southwest,1,Labs,2002-03
