"State 
FIPS 
code","Group 
code",State,Population group,Civilian non-institutional population,Civilian labor force total,Civilian labor force percent,Employed total,Employed Percent of population,Unemployed total,Rate,Error range of rate(1)
1,1,Alabama,Total,"3,862","2,263",58.6,"2,196",56.9,67,3,2.5 – 3.5
1,2,Alabama,Men,"1,828","1,194",65.3,"1,163",63.6,32,2.7,2.1 – 3.3
1,3,Alabama,Women,"2,034","1,069",52.6,"1,034",50.8,35,3.3,2.5 – 4.1
1,4,Alabama,White,"2,722","1,615",59.3,"1,577",57.9,38,2.3,1.8 – 2.8
1,5,Alabama,"White, men","1,319",901,68.3,884,67,18,1.9,1.3 – 2.5
1,6,Alabama,"White, women","1,403",714,50.9,694,49.4,20,2.8,2.0 – 3.6
1,7,Alabama,Black or African American,"1,004",563,56.1,536,53.4,27,4.7,3.4 – 6.0
1,8,Alabama,"Black or African American, men",445,250,56.2,237,53.3,13,5.1,3.1 – 7.1
1,9,Alabama,"Black or African American, women",559,313,56,299,53.5,14,4.5,2.8 – 6.2
1,13,Alabama,Hispanic or Latino ethnicity,146,105,71.5,103,70.2,2,1.8,0.1 – 3.5
1,16,Alabama,"Married men, spouse present",979,688,70.3,682,69.6,7,1,0.5 – 1.5
1,17,Alabama,"Married women, spouse present",978,528,54,518,53,10,1.9,1.1 – 2.7
1,18,Alabama,Women who maintain families,255,152,59.5,144,56.3,8,5.4,2.8 – 8.0
1,20,Alabama,"Total, 20 to 24 years",315,222,70.5,206,65.4,16,7.3,4.8 – 9.8
1,21,Alabama,"Total, 25 to 34 years",640,515,80.4,501,78.2,14,2.7,1.7 – 3.7
1,22,Alabama,"Total, 35 to 44 years",581,463,79.7,452,77.8,11,2.4,1.4 – 3.4
1,23,Alabama,"Total, 45 to 54 years",625,463,74.2,454,72.7,9,2,1.1 – 2.9
1,24,Alabama,"Total, 55 to 64 years",677,396,58.4,389,57.4,7,1.7,0.8 – 2.6
1,25,Alabama,"Total, 65 years and over",785,132,16.8,130,16.5,2,1.5,0.1 – 2.9
1,27,Alabama,"Men, 20 to 24 years",144,113,78.8,107,74.5,6,5.4,2.4 – 8.4
1,28,Alabama,"Men, 25 to 34 years",314,269,85.6,262,83.6,6,2.3,1.0 – 3.6
1,29,Alabama,"Men, 35 to 44 years",283,244,86.2,239,84.4,5,2.2,0.9 – 3.5
1,30,Alabama,"Men, 45 to 54 years",301,246,81.8,241,80,5,2.2,0.9 – 3.5
1,31,Alabama,"Men, 55 to 64 years",316,215,68.2,213,67.3,3,1.3,0.3 – 2.3
